,lower,median,upper
1997Q2,3.0528619467491294,3.246879322332732,3.434174469804796
1997Q3,3.1190974493487063,3.3024563564442886,3.4821076287833157
1997Q4,3.0029628907559482,3.2046726393874767,3.3843541865043734
1998Q1,2.471165753874079,2.8060389338679905,3.2069318278445165
1998Q2,2.4424663072553394,2.664550076820256,2.953976806891376
1998Q3,2.4402012839460516,2.601172612363083,2.7662217056548934
1998Q4,2.4113653106416586,2.5669358781393035,2.719925710320515
1999Q1,2.37000027093805,2.5441440615470743,2.716181443544764
1999Q2,2.3673743266515377,2.539349229026391,2.7082820755330186
1999Q3,2.3987081384264886,2.5465125547079435,2.69851088271733
1999Q4,2.4058874265602146,2.559285066745838,2.7192160993694254
2000Q1,2.4388506257893923,2.6207620443272646,2.828671034284541
2000Q2,2.483470209307681,2.6681344280553825,2.8879252059622016
2000Q3,2.4469843480513047,2.609099470877232,2.783684015544596
2000Q4,2.4076784910354156,2.565963354691629,2.7326755493269257
2001Q1,2.368336994196473,2.5495197487245957,2.731493266999942
2001Q2,2.3674870680574824,2.5445194483585025,2.725693886408455
2001Q3,2.3859271477891872,2.544328475132403,2.707481732308791
2001Q4,2.3363496741937206,2.5046233212689906,2.6747868338344065
2002Q1,2.362222972388689,2.5481404540336845,2.741645008398713
2002Q2,2.392486950999263,2.577763324240559,2.767360570346452
2002Q3,2.4318991152774787,2.594933161656782,2.762863591979812
2002Q4,2.4332744434952067,2.5956930220345953,2.763312820059887
2003Q1,2.399435451899043,2.583129703813032,2.7683712216137466
2003Q2,2.38857053182966,2.5748832188646813,2.757508785964573
2003Q3,2.4273220219398635,2.5898241903610897,2.751707026200418
2003Q4,2.4393911363874015,2.600867737457953,2.7615178116018444
2004Q1,2.430930353935042,2.6169852044585418,2.796922346241755
2004Q2,2.4748363148707733,2.6588939990199587,2.839288773779671
2004Q3,2.54459583183643,2.702564276577741,2.863435136361746
2004Q4,2.532034290545488,2.6879776868889476,2.844660808060843
2005Q1,2.5413558691315563,2.708991124666504,2.8790179203449937
2005Q2,2.5757669027552272,2.7258539234186534,2.8827033527932886
2005Q3,2.5472563261867442,2.697694264985057,2.850809423389574
2005Q4,2.5458082357160414,2.6974383876832406,2.850269652003549
2006Q1,2.5709872433589425,2.7224876483335474,2.8758131407483662
2006Q2,2.57858453643672,2.730543161718779,2.887080005512398
2006Q3,2.5587131887019035,2.713969514253793,2.873466351590794
2006Q4,2.5519177230630246,2.710098173450816,2.8713841556519513
